,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000204178.11,-0.08833541,-0.05228352,0.0538939,-0.081272244,0.007056875,0.048173856,-0.08504952,0.029813595,0.029928718,-0.06602076,0.09097281,0.06670879,-0.0169182,0.013166664,-0.029043574,-0.08962064,0.05429875,0.056340117,-0.018374024,0.07309536
ENSG00000157978.12,-0.04371727,-0.089541584,0.027259838,-0.0249699,-0.10302461,-0.012990324,-0.087236114,-0.015903238,-0.021509726,-0.020820353,-0.00725857,-0.05205871,0.01708289,0.05423318,0.08732463,0.024938617,0.027497564,-0.050254658,0.04354817,-0.009215848
ENSG00000117640.18,0.012131214,0.030030161,-0.022402987,-0.07555805,-0.027904782,-0.06670998,0.031855877,0.09225406,0.016056547,-0.11527293,0.017747436,-0.031892747,0.08095291,0.0044072503,-0.024066849,-0.017330518,-0.1379594,-0.02013447,-0.07962583,-0.041780703
ENSG00000117632.23,0.008361961,-0.018211106,-0.061739687,-0.05721071,0.08275166,0.10114313,-0.08843762,-0.090899855,0.03774454,-0.123706274,-0.09583252,-0.020303234,-0.052707862,-0.019426938,0.024413582,0.05608109,0.10364279,0.025555352,-0.1012945,-0.11678177
ENSG00000158006.14,-0.03722297,-0.010367052,-0.057701692,-0.09349523,0.0021148957,0.047244236,-0.011448528,0.09245592,-0.0021476373,0.043140277,-0.004757747,-0.061023924,0.100736156,0.09670935,0.07795201,-0.026616164,-0.015535447,-0.047096517,-0.09256465,-0.056070264
ENSG00000175087.10,-0.033178955,-0.08227786,-0.025264619,0.011704111,-0.14032756,0.0923441,-0.024072131,0.0627289,-0.028103406,-0.12750828,0.06335527,0.07850732,-0.022352403,-0.035421375,0.027062977,-0.0097055035,0.020471087,-0.062649645,0.08224331,0.07565879
ENSG00000130695.16,-0.04350691,-0.0043746885,0.058774326,-0.005368808,-0.06930862,-0.027192255,-0.01086925,0.07862375,0.010122739,-0.046856187,0.050443836,0.0069819232,0.021195037,0.0015293795,0.021923322,0.036237434,-0.0400795,-0.019775786,-0.016877232,0.019051794
ENSG00000176092.17,0.053380243,-0.0026365635,0.008849092,0.040398322,-0.041561518,0.07953901,0.030616986,0.013116119,-0.0011994343,-0.12192607,0.08626041,-0.11116692,-0.024780327,0.024721868,0.0659796,-0.12099803,-0.071980104,-0.031458102,-0.07285351,-0.0078076273
ENSG00000117682.17,0.04726054,-0.03543968,0.085348494,-0.0058121313,-0.05351104,-0.056972854,-0.08054267,0.0021505335,0.08675036,-0.07175726,0.026373226,0.025281036,0.05712801,-0.002280722,0.013332714,0.027298564,-0.03859631,0.03792054,-0.015645614,-0.0011863334
ENSG00000117676.14,-0.07113722,-0.03419111,0.10621066,-0.010675425,-0.08654652,0.051829215,0.043108556,0.015374701,0.055898413,0.0285162,0.0029270344,0.048910912,0.013944244,-0.05173281,0.05781066,-0.008530654,-0.096609406,-0.07618527,0.07174315,0.035965342
ENSG00000060642.11,0.0045873225,-0.043333378,0.10172821,-0.08198164,-0.062030014,0.058768436,-0.0047981916,0.052967858,-0.050944146,-0.03443338,0.033067998,0.025741553,0.006839789,0.03900365,0.08604157,-0.03314389,0.043015078,-0.03387354,0.012785319,0.0024211702
ENSG00000142751.15,0.009680145,-0.06337694,0.07770334,0.048454046,0.01933964,0.06986728,0.0044319765,0.094077826,0.0593985,-0.039875064,0.023435038,-0.06581716,-0.043964066,0.052667968,0.009909202,-0.051373746,-0.082142726,-0.02434769,-0.044481613,-0.004577494
ENSG00000198746.13,-0.029163308,0.049194224,0.092868134,-0.047355656,-0.1402649,-0.031189252,-0.062320467,0.078629114,0.07584401,0.02516327,-0.022524906,0.09277271,0.06987985,-0.02055239,-0.037664644,0.021982517,-0.083009064,0.031099513,-0.0053275786,-0.02260899
ENSG00000131910.5,0.02643529,-0.03132582,-0.017595896,0.045565043,-0.12060396,0.070929945,-0.113839656,0.0032193635,0.031045156,0.021254987,-0.007784786,0.018305594,-0.022266384,0.028248478,0.10538563,-0.059450768,-0.098449,-0.016835734,0.012300814,-0.00661832
ENSG00000175707.9,-0.04684374,0.02634867,0.06873177,-0.043786053,0.034052346,0.024848985,-0.032968298,0.11466977,0.052935634,-0.05036695,-0.019127449,-0.016200582,0.10828222,0.0035014541,0.019727504,0.05746954,0.03928974,-0.02373164,-0.062698826,0.08491408
ENSG00000090020.11,-0.009926447,-0.0570641,0.07260154,-0.10989309,0.0016783075,-0.064277954,-0.058055967,0.018985048,0.08996503,-0.009144511,0.031008096,0.02025822,0.048376076,-0.042380746,-0.025143161,0.011526741,-0.0970553,-0.0014571734,0.02643903,0.0039498704
