"","gene_id","gene_name","logFC_MetastasisNodoLinfático_vs_TumorPrimario","logCPM_MetastasisNodoLinfático_vs_TumorPrimario","F_MetastasisNodoLinfático_vs_TumorPrimario","pvalue_MetastasisNodoLinfático_vs_TumorPrimario","FDR_MetastasisNodoLinfático_vs_TumorPrimario"
"ENSG00000072803.18","ENSG00000072803.18","FBXW11",-0.18724387323306,4.539155902693,0.0499485845551174,0.824033004420687,0.999622031273466
"ENSG00000133816.18","ENSG00000133816.18","MICAL2",0.198009798432911,3.99425519286271,0.049906669498589,0.824096483475043,0.999622031273466
"ENSG00000237643.2","ENSG00000237643.2","RP11-462G2.1",0.14660409921827,8.31935927379848,0.0498690946615335,0.824167757505998,0.999622031273466
"ENSG00000225616.2","ENSG00000225616.2","RP4-604A21.1",-0.194978929672345,3.39448897432376,0.049815411827845,0.824254556553434,0.999622031273466
"ENSG00000175772.11","ENSG00000175772.11","LINC01106",-0.235871308535487,1.09469315783053,0.0497739926120794,0.824335403624258,0.999622031273466
"ENSG00000159063.14","ENSG00000159063.14","ALG8",-0.211846483037655,5.31118137371295,0.0497586760450925,0.824361470682689,0.999622031273466
"ENSG00000166794.6","ENSG00000166794.6","PPIB",-0.20322822636258,1.25643558139135,0.0497503618150246,0.824389129964601,0.999622031273466
"ENSG00000102007.11","ENSG00000102007.11","PLP2",-0.190998984719579,4.75753938990395,0.0497235851232932,0.82441013355546,0.999622031273466
"ENSG00000115993.13","ENSG00000115993.13","TRAK2",-0.207916083858523,3.50849154555658,0.049715040973869,0.824419481060999,0.999622031273466
"ENSG00000143742.14","ENSG00000143742.14","SRP9",0.126494776024282,8.29243464776674,0.0497171139761408,0.824437618473159,0.999622031273466
"ENSG00000275342.5","ENSG00000275342.5","PRAG1",0.243855592859744,2.81010852671719,0.0496914754863329,0.824458876878692,0.999622031273466
"ENSG00000145996.11","ENSG00000145996.11","CDKAL1",-0.236046459854693,3.27014628457974,0.0496790318118331,0.824497227730455,0.999622031273466
"ENSG00000256061.7","ENSG00000256061.7","DNAAF4",-0.242998048108901,1.09251580382148,0.0496493550108108,0.824529766949464,0.999622031273466
"ENSG00000136478.8","ENSG00000136478.8","TEX2",0.200902619942352,3.39724315836634,0.049570419685877,0.824679933592704,0.999622031273466
"ENSG00000186376.15","ENSG00000186376.15","ZNF75D",-0.330109353178238,1.80532472799459,0.0495817448293225,0.824707479654797,0.999622031273466
"ENSG00000116251.11","ENSG00000116251.11","RPL22",-0.176314582351305,6.68957203816257,0.0495427898426224,0.824740451762442,0.999622031273466
"ENSG00000206932.1","ENSG00000206932.1","RNU6-4P",0.288168996522174,1.00516363925503,0.0495434514603677,0.824745581892485,0.999622031273466
"ENSG00000078399.19","ENSG00000078399.19","HOXA9",0.209348114224096,5.20058072885007,0.0494989910756264,0.824814351434933,0.999622031273466
"ENSG00000275066.5","ENSG00000275066.5","SYNRG",0.227491008275435,3.33633799720666,0.0494872557341192,0.824826054383165,0.999622031273466
"ENSG00000235272.2","ENSG00000235272.2","RAMACL",-0.204611470906568,2.83540563485863,0.0494253588906496,0.824941943605811,0.999622031273466
"ENSG00000283429.1","ENSG00000283429.1","MIR1244-3",0.201857150118023,2.21241218486381,0.0494132824806972,0.824944718169733,0.999622031273466
"ENSG00000265972.6","ENSG00000265972.6","TXNIP",0.166968819201377,7.52829495152599,0.0493947224425258,0.824997619417665,0.999622031273466
"ENSG00000116350.17","ENSG00000116350.17","SRSF4",-0.18501237412234,5.2956503521627,0.0493606236606408,0.82505317455609,0.999622031273466
"ENSG00000227337.1","ENSG00000227337.1","RPL23AP43",0.180113402483025,3.81957582446068,0.0492895834621559,0.825179504454511,0.999622031273466
"ENSG00000117153.16","ENSG00000117153.16","KLHL12",-0.211971499407562,4.29724763605297,0.0491257552937431,0.825460889752189,0.999622031273466
"ENSG00000100522.10","ENSG00000100522.10","GNPNAT1",-0.193443626565254,4.00202831201005,0.0490844420735597,0.825528826176293,0.999622031273466
"ENSG00000234690.7","ENSG00000234690.7","EPCAM-DT",-0.216281329677849,3.31779151989038,0.0490795168802462,0.825535377408975,0.999622031273466
"ENSG00000235175.1","ENSG00000235175.1","RPL26P37",0.178524119714167,3.47796702355068,0.0490683165390241,0.825565626187338,0.999622031273466
"ENSG00000030582.18","ENSG00000030582.18","GRN",-0.154989304418739,7.24602325018983,0.0490574911431979,0.825586539297239,0.999622031273466
