"gene_id","gene_name","logFC_Colon.Normal","logCPM_Colon.Normal","PValue_Colon.Normal","FDR_Colon.Normal","logFC_Metastasis.Nodo.Linfático","logCPM_Metastasis.Nodo.Linfático","PValue_Metastasis.Nodo.Linfático","FDR_Metastasis.Nodo.Linfático"
"ENSG00000073150.14","PANX2",-2.80996277866053,-0.0498618856515759,0.759218885579421,0.943453474649775,0.784423323716619,0.191295238276793,0.668399224120438,0.985717049786914
"ENSG00000161203.13","AP2M1",-0.381800027407934,6.76481875178632,0.759244917492426,0.943453474649775,-0.863706380611043,6.46034368426563,0.0905431677246735,0.557279683439735
"ENSG00000153814.13","JAZF1",0.535441526931218,2.70471295972775,0.759246253505767,0.943453474649775,-0.937769536401185,2.5714358846385,0.336424080707546,0.869880761828298
"ENSG00000260852.1","FBXL19-AS1",0.744696520301064,1.86963127448668,0.759251912804183,0.943453474649775,-0.563251996539941,0.452746743314603,0.588664499361122,0.974971619002108
"ENSG00000185515.15","BRCC3",-0.435575570933656,5.8748388556726,0.759285463418224,0.943453474649775,-0.631698020111262,5.72185742491425,0.283737556313167,0.833650780057148
"ENSG00000151789.12","ZNF385D",-0.72466461866608,-0.193759850035024,0.759317305044023,0.943453474649775,1.37638516035256,0.0779716976814446,0.30654050947558,0.849302937650819
"ENSG00000183463.6","URAD",-0.87968258688124,5.02591849003798,0.759324336789296,0.943453474649775,0.034789449633387,4.68257621560605,0.963739925163004,1
"ENSG00000116096.6","SPR",-0.461696045848222,5.60274418073599,0.759391327756124,0.943453474649775,0.177280121992499,5.59689192733074,0.766283915152855,1
"ENSG00000179157.4","RPS2P28",-0.810050541351116,-0.366452819454064,0.759402626755381,0.943453474649775,0.732131877035695,-0.496127939931398,0.479427613155062,0.94133562749322
"ENSG00000181991.16","MRPS11",-0.546582741973543,3.24334578845351,0.759421030568773,0.943453474649775,-0.711842089045158,2.90866982168296,0.451093888259352,0.929056124520999
"ENSG00000250326.2","RP11-284M14.1",-2.78987123654276,-1.38642446668511,0.759473339657388,0.943462491345653,-5.88658620945295,-1.91749461583498,0.0312264973721594,0.411219792831952
"ENSG00000129535.13","NRL",-2.78987123652637,-1.27730146898796,0.759530507504723,0.943477542449962,-1.5276126543593,-1.70451240133918,0.363616040354374,0.886038326464447
"ENSG00000189144.15","ZNF573",-0.55224436919399,2.92348635462901,0.759647441940895,0.943566828536549,0.35143273976528,2.89252705261613,0.682515840945046,0.988853649221655
"ENSG00000224982.4","TMEM233",-0.725652836991631,-0.160332275274255,0.759697609235829,0.94357317671649,-0.419945385527188,-0.455068752595916,0.745380350073679,0.998264131778198
"ENSG00000186074.19","CD300LF",-2.7898712365357,-0.882149794568395,0.759817345810382,0.943580219324646,-1.71346547209525,-1.10027284821629,0.240548384981281,0.789078005753999
"ENSG00000075303.13","SLC25A40",0.533742841094662,3.35456230234784,0.759828567820192,0.943580219324646,0.479847274652629,3.28083870319562,0.605035495685492,0.976483003218003
"ENSG00000130779.22","CLIP1",-0.587731019318681,4.84274745536341,0.759838449942261,0.943580219324646,-0.51021069790757,4.84083441326483,0.528947491063225,0.958788815115646
"ENSG00000120318.16","ARAP3",-0.836928230721725,1.09723722747124,0.759888415097096,0.943586314198837,-2.70229010715424,0.686247411841611,0.0474043859440441,0.462488164176515
"ENSG00000279320.1","RP11-329N15.3",-0.820093753415737,0.195334118537945,0.76001880748269,0.943692272400243,-2.74236205838488,-0.26574148687395,0.0320523131103015,0.41186273787887
"ENSG00000197937.13","ZNF347",-0.633359889033524,1.74886706035142,0.760199248453428,0.943729418405525,-0.0725388488945665,1.97628622883055,0.940041255546168,1
"ENSG00000182324.7","KCNJ14",0.78146709221944,0.100159260841591,0.760204051212001,0.943729418405525,-2.15497614871141,-0.49390697694768,0.107620683899444,0.59314664756321
"ENSG00000015520.15","NPC1L1",-0.783611811472236,2.28778690728636,0.760206743717086,0.943729418405525,-2.0072679972347,2.2786645982826,0.107445261203135,0.592744000752742
"ENSG00000165959.12","CLMN",-0.514869205832698,4.69160862278731,0.760297865007979,0.943729418405525,-0.791635489392325,4.52840772526749,0.252100449870576,0.800461389916295
"ENSG00000105641.4","SLC5A5",-2.78987123652557,-0.372615164688515,0.760339669519294,0.943729418405525,-2.5377644647855,-0.820815683231899,0.112965421803016,0.605642530022472
"ENSG00000084652.16","TXLNA",0.562993438394159,3.78888606451713,0.760347717661038,0.943729418405525,0.697864007637206,4.03915184074229,0.331289348985147,0.866003117497701
"ENSG00000257773.1","ST13P3",-0.72100398706018,0.599300603261546,0.760369073288178,0.943729418405525,0.101129933867691,0.683796171725775,0.913153829979297,1
"ENSG00000244585.1","RPL12P33",-0.544312897985404,3.55779646753229,0.760409235324937,0.943729418405525,0.285162233476462,3.48555784525986,0.709588240040476,0.994018132428637
"ENSG00000249207.2","RP11-360F5.1",-2.7898712365271,-0.229969208135319,0.76050815658511,0.943796255715874,-6.18223619554484,-0.782919470427691,0.0266235896693726,0.3958908926174
"ENSG00000224429.8","LINC00539",-0.823537047771527,0.271613739014792,0.760622118237782,0.943881749237713,1.29598095992537,0.699548518293036,0.317430105554316,0.854370172910756
"ENSG00000123612.16","ACVR1C",-0.675071446361836,2.74419726501534,0.760769513146143,0.943984918197508,1.98897782052152,2.7110105051977,0.11860721476986,0.616321302085433
"ENSG00000184209.15","SNRNP35",0.57241245488069,4.5143714285789,0.760795408716337,0.943984918197508,-0.0678675880347442,4.08526650371243,0.930018795998676,1
"ENSG00000196954.14","CASP4",-0.540575989711666,4.9192160685191,0.760884366762704,0.944039363039549,0.624328807798851,5.26706178223921,0.459322642191135,0.931764976666947
"ENSG00000166573.6","GALR1",0.971137628119528,-1.38891742298768,0.761018374471062,0.944126009120499,0.401470678060695,-1.87758029679504,0.853204481682805,1
"ENSG00000134463.15","ECHDC3",-2.78987123654295,0.186657890440594,0.761044368253421,0.944126009120499,-0.525530290186566,0.143840095318585,0.654185423849712,0.982767628998269
"ENSG00000183666.17","GUSBP1",0.551736092196827,1.88026849621139,0.761104900195029,0.944145173550781,-0.213125181645592,1.19250924764132,0.829372045971605,1
"ENSG00000114626.18","ABTB1",0.692938348817315,2.43283862316153,0.76128086885852,0.944275396281537,-0.949948576652181,1.84099704589463,0.462835933701175,0.933057297051189
"ENSG00000229921.7","KIF25-AS1",-2.88593265957909,2.1674911045554,0.761300056862643,0.944275396281537,-5.98984088757707,1.79251142119869,0.0226992794214527,0.379851057738846
"ENSG00000260212.1","RP11-325O24.5",-0.580344531044994,0.927868277951376,0.761415925306887,0.944284151762696,-1.15024928949498,0.453333721061621,0.248856257470653,0.795850651401439
"ENSG00000158050.5","DUSP2",-0.437799683911796,6.21880189954899,0.761420938244692,0.944284151762696,-0.602065432525117,5.64343619161077,0.332025586594492,0.866388893694429
"ENSG00000129566.13","TEP1",-0.738991828694878,3.04218518873194,0.761442387108044,0.944284151762696,-0.83877566541057,2.50808714288477,0.454379710234075,0.929286754106736
"ENSG00000111640.15","GAPDH",-0.494764098098334,4.47345085427797,0.761612136558722,0.944438735422357,-0.26696686893329,4.65857011143028,0.671924069866817,0.986356243159942
"ENSG00000285410.1","GABPB1-IT1",-0.545824630576308,2.18240010903417,0.761735503322126,0.944535787232634,0.0566980576525951,2.02496801158203,0.955828763950772,1
"ENSG00000133401.16","PDZD2",0.713251753932192,0.160894128609915,0.761810564591217,0.944552483898895,-1.26601942839942,-0.299440206100904,0.207229243074888,0.747646903507063
"ENSG00000138663.9","COPS4",-0.501372241933474,5.11556526247579,0.761913799903204,0.944552483898895,-0.0361825678852446,5.06348933493875,0.953652178320381,1
"ENSG00000028137.19","TNFRSF1B",-0.644594677335465,2.57485869539083,0.761922626900263,0.944552483898895,0.178067319877212,2.98683672233271,0.840406785017443,1
"ENSG00000176946.12","THAP4",0.535215436734608,5.15712158445501,0.761964930424862,0.944552483898895,0.172658360298741,4.76715892902624,0.789481357069823,1
"ENSG00000188037.13","CLCN1",-2.78987118372157,0.764305961094403,0.762064881840203,0.944552483898895,-2.01529982807247,0.536769792487104,0.147549738177292,0.66485181568198
"ENSG00000235026.6","DPP10-AS1",-0.581752037805862,2.69517945974069,0.762069442424357,0.944552483898895,0.493340645864262,3.02639169193062,0.673484594571818,0.98635689769297
"ENSG00000228649.9","SNHG26",0.649340419683701,1.4058178649132,0.762115392487272,0.944552483898895,-1.34014523528619,1.29987642618335,0.23101679463558,0.77856069261685
"ENSG00000152942.19","RAD17",0.539222539508989,3.4723669485437,0.762171622931386,0.944552483898895,1.24292772035344,3.6731577741691,0.134271288086134,0.640180158129239
"ENSG00000013364.19","MVP",0.319854631379849,7.04984212995375,0.762188530710489,0.944552483898895,-0.0654896140504423,6.85910794061168,0.911004581736155,1
"ENSG00000233432.2","MTIF2P1",0.87733572197195,-1.07838918223878,0.762200001213229,0.944552483898895,-2.09044949195569,-1.66822889363533,0.160807068500993,0.687179428736754
"ENSG00000100014.20","SPECC1L",-0.60291296279693,2.54701424726744,0.762336085180631,0.944665224606674,1.1855344335408,2.53278942922408,0.243311010690075,0.791376517486953
"ENSG00000081803.16","CADPS2",0.565473038568696,2.95782141014778,0.762460722352276,0.944751766732258,-2.13300737494915,2.66907082174612,0.0518938059947637,0.475075000904178
"ENSG00000136235.17","GPNMB",-0.730549655526138,2.28233488303442,0.762496149427401,0.944751766732258,2.8179812244723,3.75187245434794,0.00209932498889679,0.28343815511088
"ENSG00000229755.1","RP5-827L5.2",0.89788782055095,-0.720929225178673,0.762636628224252,0.944814233307025,-0.484400593496187,-1.08791421323251,0.651215698657401,0.982608824516209
"ENSG00000162300.13","ZFPL1",0.654642242196131,1.94133134245274,0.762636796859037,0.944814233307025,1.95995383317989,0.594831655435359,0.181031586431166,0.715728073753378
"ENSG00000130414.13","NDUFA10",0.333758949965542,6.81259612959344,0.76269134502615,0.944825918221688,0.017511127624018,6.41305959951258,0.976324141921201,1
"ENSG00000075275.18","CELSR1",-0.670229892658527,2.39251664120946,0.762781312773678,0.944881477115011,1.04552424939382,2.67298507227114,0.388908505795362,0.900301421206523
"ENSG00000226338.1","AC079150.2",-0.81918814135176,-0.354860492678992,0.762918064318616,0.944949027326964,0.483835673730998,-0.627343206063163,0.721527729138407,0.99599930761209
"ENSG00000164244.21","PRRC1",-0.589940292030355,4.75233606932159,0.762958385981409,0.944949027326964,0.65285823754831,4.80417246810528,0.36599026768173,0.887143198443811
"ENSG00000134291.12","TMEM106C",-0.355870155240295,7.27723006771577,0.763113599101572,0.944949027326964,-0.725271669372211,7.15644768576146,0.151844908588341,0.672492519854304
"ENSG00000196778.4","OR52K1",-0.857509237351196,-0.431882476704396,0.763117168954317,0.944949027326964,-0.0147393893567122,-1.00604028391499,0.99741788010364,1
"ENSG00000095383.20","TBC1D2",-0.607961995930618,3.028468862792,0.763169507469957,0.944949027326964,0.460987594486986,3.05462407222101,0.735801394283623,0.997414827195123
"ENSG00000171469.11","ZNF561",-0.6038148334111,3.17374671500861,0.763209867958755,0.944949027326964,0.409590366503123,3.35450333487008,0.626100754694223,0.979705997815985
"ENSG00000229939.1","RP11-111F16.2",0.716005890296383,-0.447011916582139,0.763364371311598,0.944949027326964,-1.48107528156677,-0.982307634616091,0.23227791635775,0.779650279425804
"ENSG00000152332.16","UHMK1",-0.549851268270401,4.84943020856613,0.76337726858112,0.944949027326964,0.245432653439477,4.68856647981211,0.695844619884502,0.990746937001274
"ENSG00000108239.9","TBC1D12",-0.534242093825817,2.92161422050497,0.763407250562367,0.944949027326964,-0.755346217109805,2.72017198765025,0.449038235567643,0.928709448772103
"ENSG00000114166.8","KAT2B",0.863811557445521,3.23474777673803,0.763493369476341,0.944949027326964,-1.68893774576037,1.01048995728991,0.131957937972832,0.634458601208956
"ENSG00000117013.17","KCNQ4",0.891184583812001,-0.551249814140203,0.763559306661872,0.944949027326964,-2.32852841450148,-1.10144882829645,0.166605988050261,0.695140399070508
"ENSG00000183762.13","KREMEN1",0.63043891733167,4.8090180373252,0.763566701948911,0.944949027326964,0.0124127538998574,4.31241606246714,0.985806348424319,1
"ENSG00000223899.1","SEC13P1",0.554631362050916,1.60532452720058,0.763717736116643,0.944949027326964,-1.22758525307679,1.14346552297854,0.21062714327796,0.750503413010018
