Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
,ENSG00000007306.15,0.26791298,Z_4,,,,-0.26791298,,,,,,,,,,,,,,,
,ENSG00000168003.18,0.2675231,Z_4,,,,-0.2675231,,,,,,,,,,,,,,,
,ENSG00000112818.11,0.26495194,Z_4,,,,-0.26495194,,,,,,,,,,,,,,,
,ENSG00000119969.15,0.26417774,Z_4,,,,0.26417774,,,,,,,,,,,,,,,
,ENSG00000158825.6,0.26159826,Z_4,,,,-0.26159826,,,,,,,,,,,,,,,
,ENSG00000211896.7,0.26126206,Z_4,,,,0.26126206,,,,,,,,,,,,,,,
,ENSG00000268621.6,0.26049,Z_4,,,,0.26049,,,,,,,,,,,,,,,
,ENSG00000102189.17,0.25901848,Z_4,,,,0.25901848,,,,,,,,,,,,,,,
,ENSG00000137648.19,0.2567084,Z_4,,,,-0.2567084,,,,,,,,,,,,,,,
,ENSG00000241224.8,0.2561147,Z_4,,,,-0.2561147,,,,,,,,,,,,,,,
,ENSG00000143621.17,0.2538004,Z_4,,,,0.2538004,,,,,,,,,,,,,,,
,ENSG00000079385.23,0.25280258,Z_4,,,,-0.25280258,,,,,,,,,,,,,,,
,ENSG00000182718.18,0.2524043,Z_4,,,,-0.2524043,,,,,,,,,,,,,,,
,ENSG00000130921.9,0.25024343,Z_4,,,,0.25024343,,,,,,,,,,,,,,,
,ENSG00000171345.13,0.25020593,Z_4,,,,-0.25020593,,,,,,,,,,,,,,,
,ENSG00000105011.9,0.2490741,Z_4,,,,0.2490741,,,,,,,,,,,,,,,
,ENSG00000120708.17,0.24782594,Z_4,,,,-0.24782594,,,,,,,,,,,,,,,
,ENSG00000172380.6,0.24625021,Z_4,,,,-0.24625021,,,,,,,,,,,,,,,
,ENSG00000129824.16,0.24532361,Z_4,,,,-0.24532361,,,,,,,,,,,,,,,
