,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
ENSG00000133216.17,-0.038098693,-0.014711266,0.0052648927,-0.06503139,0.12947218,0.05767582,0.17822829,0.17137918,-0.034022734,0.058707755,0.07868466,0.121270366,0.07281285,-0.04164419,-0.1305481,-0.020924086,-0.078448474,-0.11228935,-0.031710908,0.05131533
ENSG00000004487.17,0.006703085,0.0074544908,0.094897486,-0.010943365,0.05091449,-0.07688511,0.030064143,0.111790344,0.02805288,-0.061529964,-0.0012361393,0.08279613,0.04076318,-0.07405517,0.06545554,-0.04280364,0.010023956,-0.040783077,-0.01897915,0.07260214
ENSG00000169641.13,0.045266733,0.06689641,-0.053120498,-0.081178024,0.11451319,0.0015513254,-0.062581874,0.030154727,-0.089079134,-0.09736346,0.08011851,-0.008853777,0.018979672,-0.023664769,0.023710057,0.014994354,-0.00034513042,-0.012835209,-0.03029809,-0.11971911
ENSG00000125945.15,0.022574745,0.011541679,0.10240486,0.0611334,0.0027949184,0.040739052,0.05213686,0.052183904,-0.07651053,-0.07397961,-0.08814613,0.021040926,-0.03479044,-0.0070966054,0.024927005,-0.067794636,0.026389094,0.056902513,-0.01943498,-0.041493807
ENSG00000204219.11,-0.032032505,-0.12236114,0.0716698,0.000871302,-0.017754737,-0.048773106,0.014827378,0.003586586,-0.10935421,-0.024266921,-0.08651622,-0.08671599,-0.020803543,-0.00041358938,-0.044044316,0.034426242,0.020758422,-0.1053303,0.10591581,0.043666765
ENSG00000117318.9,-0.089341596,-0.012735337,-0.076183744,0.08960577,-0.026732739,-0.015013565,0.099690735,0.037270293,0.028909191,-0.021438776,0.024358923,-0.054187354,0.047046576,-0.058499534,0.044479124,0.064183995,0.06848025,-0.08527322,0.026844865,0.067350425
ENSG00000011007.12,-0.05149526,-0.08783917,-0.04644098,-0.09264417,0.031916615,-0.086868875,-0.029433746,-0.030990863,-0.0018879427,-0.07848521,-0.07688957,-0.0459309,-0.005842957,-0.07123316,0.035159644,-0.04787615,0.008291588,-0.041412067,0.058230378,-0.021077054
ENSG00000117308.15,0.004014813,-0.115057014,0.021864187,0.022081573,0.07031861,0.002482819,0.1322806,-0.09166292,-0.1409435,0.07235564,-0.015145025,0.076371275,0.14114057,-0.08826229,-0.032117497,-0.060346395,0.04364892,-0.07088813,0.028326381,0.007651623
ENSG00000179163.12,0.007019338,0.029982913,0.032370277,-0.038331617,-0.044287317,-0.021052176,0.05980222,0.05827626,-0.03142895,-0.038625237,-0.07836255,0.037883434,0.041814115,0.025152138,0.06126904,0.0009879736,-0.03909535,0.07040012,-0.0044903485,-0.012388123
ENSG00000188529.15,-0.03804902,0.10638963,-0.1241127,-0.020081932,0.08239185,-0.043466847,0.053892393,0.04692799,0.09697559,-0.013182317,0.15423484,0.12326522,0.058684222,0.023441957,-0.08207189,0.018509708,-0.0241912,-0.103871234,-0.05747457,-0.012762918
ENSG00000142677.4,0.096288726,0.0074312706,0.09592657,-0.009683411,0.0705015,0.03809807,0.08505252,-0.0066684135,-0.0036710615,-0.11175446,-0.026225952,0.009604346,-0.031320006,-0.04991642,0.03907874,-0.08448708,-0.008514383,-0.082099386,-0.023488745,7.9791265e-05
ENSG00000185436.12,-0.042357437,-0.018098699,0.03896894,0.011555452,0.032441247,-0.049083248,0.01736047,0.041204285,-0.030326657,-0.043746863,-0.025644109,-0.022317685,0.046271823,-0.0066197654,0.0031339172,-0.046635497,-0.037953444,0.04547632,0.008435363,-0.03248834
ENSG00000001461.17,0.08216226,0.009554699,0.076981634,0.036558855,0.07448103,-0.0068795555,0.07161978,0.03142499,-0.030717269,-0.033089567,0.014258583,0.037527274,-0.05478975,-0.051766127,0.009095769,-0.10365252,-0.080905266,0.009314741,-0.0013139263,0.03835683
ENSG00000117616.18,0.026536543,0.054330718,0.033613257,0.029848604,0.0057146912,0.028732887,0.048561748,-0.002504052,-0.031414058,-0.05525331,-0.03418807,-0.04780757,0.0906586,-0.038672324,0.0812342,0.039506413,-0.023938678,-0.021530768,0.08831214,-0.08345299
ENSG00000204178.11,-0.028871229,-0.04762228,0.032597516,-0.051198754,0.061625827,-0.05907288,-0.013552709,-0.008534645,-0.050935343,-0.050182905,0.026673963,0.022934994,0.064492136,-0.015746938,0.04093245,-0.032961186,0.036875658,0.041097894,0.05747304,-0.0016723921
ENSG00000157978.12,0.10825897,0.0023453098,-0.026012141,0.03804621,0.08371036,0.0028863242,0.12554471,-0.02499155,-0.17182381,-0.044439744,0.032441236,0.08196915,-0.04661343,0.06661024,-0.046506632,-0.16878654,0.050866578,-0.12264904,-0.038004942,-0.111497045
ENSG00000117640.18,0.07066013,-0.06005148,-0.005644758,-0.06079486,0.084782615,-0.016704714,0.013737547,-0.0344577,-0.051469423,-0.09945343,0.02457845,0.034115806,-0.07002472,0.0028023256,-0.03453428,-0.051502388,-0.07104882,0.0009801256,0.0049183597,-0.01805728
ENSG00000117632.23,0.0005631482,-0.058079872,-0.024926238,0.069354616,-0.08499664,-0.035291538,-0.05726636,-0.070360735,-0.007861253,-0.06073169,0.14221998,0.11015048,0.020261884,0.04948951,-0.04509459,0.01240234,0.06212457,0.04104523,-0.08712401,-0.0547448
ENSG00000158006.14,-0.02692562,0.038303535,-0.023025937,-0.010813005,0.08057916,-0.04275232,0.05545266,0.0041735256,-0.06757706,-0.07194457,-0.0820846,0.043519594,-0.0062278514,-0.059537347,-0.027065959,0.008408505,0.0104265995,-0.03548016,0.005234328,-0.08549258
ENSG00000175087.10,0.05099268,-0.0072014434,0.068192415,-0.04953016,0.08514788,0.03568211,-0.046682492,0.001955465,0.003961206,-0.016888324,-0.049276877,0.023628054,0.07225702,-0.038524605,0.03977227,0.05705667,-0.031730067,0.057432685,0.007302585,-0.066781126
ENSG00000130695.16,0.07282697,0.003306353,-0.022088155,-0.033740792,-0.030634407,-0.02200606,0.048212178,-0.043500103,-0.13117668,-0.09272708,0.026815642,-0.027616806,-0.016690241,0.027987277,-0.05251423,0.023836153,0.04922193,0.12927063,0.13846515,-0.009306551
ENSG00000176092.17,0.09947363,0.029861365,0.065103255,-0.009048864,0.03527572,-0.02603927,0.064607814,0.00415394,0.005337877,-0.011055274,-0.06480819,0.020918638,-0.03992535,0.017857397,-0.04268277,0.015182638,-0.068293974,0.07576513,-0.0044273683,-0.079045035
ENSG00000117682.17,-0.03175327,-0.04059772,-0.05859992,-0.034847375,0.006719911,-0.09378527,-0.000784542,0.060457464,-0.05298836,-0.026151927,-0.014305768,-0.01787415,0.01159911,-0.002203325,0.049004044,0.032780554,0.017177803,0.047300946,0.07930599,-0.084011324
ENSG00000117676.14,0.09837422,0.025163071,-0.028892959,-0.08140939,-0.02896635,-0.12904526,-0.021391947,0.04879373,0.0028109115,0.048700903,-0.018241266,-0.06150928,-0.04053679,-0.09259949,0.061015744,-0.05671529,0.062614836,0.051699076,0.07882491,-0.04222508
